27
-2048	-951	Group01		1.051
-950	-121	Group02		0.977
-120	-83	Group03		0.948
-82	-53	Group04		0.958
-52	-23	Group05		0.968
-22	7	Group06		0.976
8	18	Group07		0.983
19	79	Group08		0.993
80	119	Group09		0.971
120	199	Group10		1.002
200	299	Group11		1.005
300	399	Group12		1.010
400	499	Group13		1.014
500	599	Group14		1.018
600	699	Group15		1.021
700	799	Group16		1.025
800	899	Group17		1.030
900	999	Group18		1.033
1000	1099	Group19		1.035
1100	1199	Group20		1.038
1200	1299	Group21		1.041
1300	1399	Group22		1.043
1400	1499	Group23		1.046
1500	1599	Group24		1.048
1600	1999	Group25		1.042
2000	3060	Group26		1.049
3061	4096	Group27		1.000
